row_seq,t_us,baro_valid,baro_updated,baro_seq,bmp_T,bmp_P,bmp_alt,imu_valid,imu_updated,imu_seq,ax,ay,az,gx,gy,gz,aux_valid,aux_updated,aux_seq,lis_ax,lis_ay,lis_az,att_valid,att_updated,att_seq,q0,q1,q2,q3,auxvz_valid,auxvz_updated,auxvz_seq,a_vertical,est_valid,est_updated,est_seeded,est_seq,est_h,est_v,est_a,P00,P01,P10,P11,arm_state,policy_runtime_enabled,software_arm_token,phase,actuator_us,phase_diag_valid,phase_diag_updated,phase_diag_seq,phase_diag_t_ms,phase_diag_age_ms,phase_launch_latched,phase_burnout_latched,phase_descent_latched,phase_launch_candidate,phase_burnout_candidate,phase_descent_candidate,phase_boost_dwell_met,phase_coast_dwell_met,phase_brake_active,phase_launch_confirm_ms,phase_burnout_confirm_ms,phase_descent_confirm_ms,phase_since_launch_ms,phase_since_burnout_ms,policy_valid,policy_cmd,apogee_no_brake,apogee_full_brake,target_apogee,apogee_error,target_nominal,target_effective,uncertainty_margin,warn_mask,gps_x,gps_y,gps_z,gps_vx,gps_vy,gps_vz
21,420000,1,1,22,21.505039,1001.280515,100.131514,1,1,22,0.063752,0.155750,9.878685,0.004429,0.017431,0.001003,1,1,22,0.086039,0.193513,9.909841,1,1,22,0.999995,0.000586,0.000907,0.002988,1,1,22,0,1,1,1,22,0,0,0,9,0.001260,0.001260,6,0,0,0,0,1000,1,1,22,420,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,0.671803,1.348716,0,1.598590,-0.370393,0
22,440000,1,1,23,21.505279,1001.279780,100.137696,1,1,23,0.066694,0.155338,9.881469,0.004629,0.017376,0.001051,1,1,23,0.089960,0.192885,9.913948,1,1,23,0.999995,0.000614,0.000950,0.002987,1,1,23,0,1,1,1,23,0,0,0,9,0.001320,0.001320,6,0,0,0,0,1000,1,1,23,440,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,0.703773,1.341298,0,1.598452,-0.371362,0
23,460000,1,1,24,21.505519,1001.279045,100.143867,1,1,24,0.069622,0.154907,9.884167,0.004827,0.017319,0.001098,1,1,24,0.093856,0.192228,9.917946,1,1,24,0.999995,0.000641,0.000993,0.002985,1,1,24,0,1,1,1,24,0,0,0,9,0.001380,0.001380,6,0,0,0,0,1000,1,1,24,460,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,0.735741,1.333861,0,1.598308,-0.372330,0
24,480000,1,1,25,21.505759,1001.278313,100.150027,1,1,25,0.072537,0.154457,9.886775,0.005024,0.017259,0.001145,1,1,25,0.097727,0.191544,9.921832,1,1,25,0.999995,0.000669,0.001036,0.002984,1,1,25,0,1,1,1,25,0,0,0,9,0.001439,0.001439,6,0,0,0,0,1000,1,1,25,480,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,0.767705,1.326405,0,1.598158,-0.373299,0
25,500000,1,1,26,21.505998,1001.277581,100.156174,1,1,26,0.075438,0.153988,9.889291,0.005220,0.017196,0.001192,1,1,26,0.101572,0.190830,9.925602,1,1,26,0.999995,0.000697,0.001079,0.002982,1,1,26,0,1,1,1,26,0,0,0,9,0.001499,0.001499,6,1,0,0,0,1000,1,1,26,500,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,0.799667,1.318929,0,1.598002,-0.374267,0
26,520000,1,1,27,21.506238,1001.276851,100.162309,1,1,27,0.078323,0.153501,9.891711,0.005413,0.017131,0.001239,1,1,27,0.105389,0.190089,9.929252,1,1,27,0.999995,0.000724,0.001122,0.002981,1,1,27,0,1,1,1,27,0,0,0,9,0.001559,0.001559,6,1,0,0,0,1000,1,1,27,520,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,0.831625,1.311434,0,1.597839,-0.375235,0
27,540000,1,1,28,21.506478,1001.276123,100.168431,1,1,28,0.081194,0.152995,9.894033,0.005605,0.017063,0.001286,1,1,28,0.109178,0.189320,9.932777,1,1,28,0.999995,0.000752,0.001165,0.002979,1,1,28,0,1,1,1,28,0,0,0,9,0.001619,0.001619,6,1,0,0,0,1000,1,1,28,540,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,0.863580,1.303920,0,1.597669,-0.376203,0
28,560000,1,1,29,21.506718,1001.275397,100.174539,1,1,29,0.084048,0.152471,9.896253,0.005795,0.016993,0.001333,1,1,29,0.112937,0.188523,9.936176,1,1,29,0.999995,0.000779,0.001208,0.002978,1,1,29,0,1,1,1,29,0,0,0,9,0.001679,0.001679,6,1,0,0,0,1000,1,1,29,560,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,0.895532,1.296386,0,1.597494,-0.377170,0
29,580000,1,1,30,21.506958,1001.274672,100.180633,1,1,30,0.086886,0.151928,9.898371,0.005983,0.016921,0.001380,1,1,30,0.116666,0.187699,9.939444,1,1,30,0.999994,0.000807,0.001251,0.002976,1,1,30,0,1,1,1,30,0,0,0,9,0.001739,0.001739,6,1,0,0,0,1000,1,1,30,580,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,0.927480,1.288833,0,1.597312,-0.378137,0
30,600000,1,1,31,21.507197,1001.273948,100.186712,1,1,31,0.089707,0.151367,9.900382,0.006170,0.016846,0.001426,1,1,31,0.120363,0.186847,9.942579,1,1,31,0.999994,0.000834,0.001294,0.002974,1,1,31,0,1,1,1,31,0,0,0,9,0.001799,0.001799,6,1,0,0,0,1000,1,1,31,600,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,0.959424,1.281260,0,1.597123,-0.379103,0
31,620000,1,1,32,21.507437,1001.273227,100.192776,1,1,32,0.092511,0.150787,9.902285,0.006354,0.016769,0.001473,1,1,32,0.124028,0.185967,9.945576,1,1,32,0.999994,0.000861,0.001337,0.002973,1,1,32,0,1,1,1,32,0,0,0,9,0.001859,0.001859,6,1,0,0,0,1000,1,1,32,620,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,0.991365,1.273669,0,1.596929,-0.380069,0
32,640000,1,1,33,21.507677,1001.272508,100.198825,1,1,33,0.095296,0.150190,9.904077,0.006536,0.016689,0.001519,1,1,33,0.127660,0.185060,9.948434,1,1,33,0.999994,0.000889,0.001380,0.002971,1,1,33,0,1,1,1,33,0,0,0,9,0.001919,0.001919,6,1,0,0,0,1000,1,1,33,640,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,1.023302,1.266058,0,1.596728,-0.381035,0
33,660000,1,1,34,21.507916,1001.271790,100.204857,1,1,34,0.098063,0.149574,9.905757,0.006716,0.016607,0.001566,1,1,34,0.131257,0.184126,9.951149,1,1,34,0.999994,0.000916,0.001423,0.002969,1,1,34,0,1,1,1,34,0,0,0,9,0.001979,0.001979,6,1,0,0,0,1000,1,1,34,660,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,1.055234,1.258427,0,1.596520,-0.382001,0
34,680000,1,1,35,21.508156,1001.271074,100.210873,1,1,35,0.100810,0.148940,9.907322,0.006894,0.016522,0.001612,1,1,35,0.134819,0.183166,9.953719,1,1,35,0.999994,0.000943,0.001465,0.002967,1,1,35,0,1,1,1,35,0,0,0,9,0.002038,0.002038,6,1,0,0,0,1000,1,1,35,680,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,1.087162,1.250778,0,1.596306,-0.382966,0
35,700000,1,1,36,21.508396,1001.270361,100.216872,1,1,36,0.103538,0.148288,9.908771,0.007070,0.016436,0.001658,1,1,36,0.138344,0.182178,9.956141,1,1,36,0.999994,0.000970,0.001508,0.002965,1,1,36,0,1,1,1,36,0,0,0,9,0.002098,0.002098,6,1,0,0,0,1000,1,1,36,700,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,1.119086,1.243109,0,1.596086,-0.383930,0
36,720000,1,1,37,21.508635,1001.269649,100.222853,1,1,37,0.106245,0.147618,9.910101,0.007243,0.016346,0.001704,1,1,37,0.141833,0.181164,9.958413,1,1,37,0.999994,0.000998,0.001551,0.002963,1,1,37,0,1,1,1,37,0,0,0,9,0.002158,0.002158,6,1,0,0,0,1000,1,1,37,720,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,1.151006,1.235421,0,1.595860,-0.384894,0
37,740000,1,1,38,21.508875,1001.268940,100.228816,1,1,38,0.108932,0.146930,9.911312,0.007414,0.016255,0.001750,1,1,38,0.145284,0.180123,9.960533,1,1,38,0.999994,0.001025,0.001594,0.002961,1,1,38,0,1,1,1,38,0,0,0,9,0.002218,0.002218,6,1,0,0,0,1000,1,1,38,740,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,1.182921,1.227713,0,1.595627,-0.385858,0
38,760000,1,1,39,21.509114,1001.268233,100.234760,1,1,39,0.111597,0.146224,9.912403,0.007583,0.016161,0.001796,1,1,39,0.148695,0.179056,9.962498,1,1,39,0.999994,0.001052,0.001637,0.002959,1,1,39,0,1,1,1,39,0,0,0,9,0.002278,0.002278,6,1,0,0,0,1000,1,1,39,760,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,1.214831,1.219986,0,1.595388,-0.386821,0
39,780000,1,1,40,21.509354,1001.267528,100.240686,1,1,40,0.114240,0.145501,9.913371,0.007749,0.016065,0.001842,1,1,40,0.152067,0.177963,9.964308,1,1,40,0.999994,0.001079,0.001680,0.002957,1,1,40,0,1,1,1,40,0,0,0,9,0.002338,0.002338,6,1,0,0,0,1000,1,1,40,780,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,1.246736,1.212240,0,1.595143,-0.387784,0
40,800000,1,1,41,21.509593,1001.266825,100.246592,1,1,41,0.116861,0.144760,9.914215,0.007913,0.015966,0.001887,1,1,41,0.155398,0.176844,9.965959,1,1,41,0.999994,0.001106,0.001722,0.002954,1,1,41,0,1,1,1,41,0,0,0,9,0.002397,0.002397,6,1,0,0,0,1000,1,1,41,800,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,1.278636,1.204475,0,1.594891,-0.388746,0
41,820000,1,1,42,21.509833,1001.266125,100.252478,1,1,42,0.119459,0.144002,9.914935,0.008074,0.015865,0.001933,1,1,42,0.158687,0.175699,9.967452,1,1,42,0.999993,0.001133,0.001765,0.002952,1,1,42,0,1,1,1,42,0,0,0,9,0.002457,0.002457,6,1,0,0,0,1000,1,1,42,820,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,1.310532,1.196690,0,1.594633,-0.389707,0
42,840000,1,1,43,21.510072,1001.265427,100.258344,1,1,43,0.122034,0.143226,9.915530,0.008232,0.015762,0.001978,1,1,43,0.161934,0.174529,9.968783,1,1,43,0.999993,0.001159,0.001808,0.002949,1,1,43,0,1,1,1,43,0,0,0,9,0.002517,0.002517,6,1,0,0,0,1000,1,1,43,840,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,1.342422,1.188887,0,1.594368,-0.390669,0
43,860000,1,1,44,21.510312,1001.264732,100.264188,1,1,44,0.124584,0.142433,9.916000,0.008388,0.015656,0.002024,1,1,44,0.165138,0.173334,9.969953,1,1,44,0.999993,0.001186,0.001851,0.002947,1,1,44,0,1,1,1,44,0,0,0,9,0.002577,0.002577,6,1,0,0,0,1000,1,1,44,860,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,1.374306,1.181064,0,1.594098,-0.391629,0
44,880000,1,1,45,21.510551,1001.264039,100.270012,1,1,45,0.127111,0.141623,9.916342,0.008541,0.015549,0.002069,1,1,45,0.168298,0.172113,9.970960,1,1,45,0.999993,0.001213,0.001893,0.002945,1,1,45,0,1,1,1,45,0,0,0,9,0.002637,0.002637,6,1,0,0,0,1000,1,1,45,880,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,1.406186,1.173221,0,1.593821,-0.392589,0
45,900000,1,1,46,21.510791,1001.263349,100.275813,1,1,46,0.129612,0.140795,9.916558,0.008691,0.015439,0.002114,1,1,46,0.171413,0.170867,9.971804,1,1,46,0.999993,0.001240,0.001936,0.002942,1,1,46,0,1,1,1,46,0,0,0,9,0.002696,0.002696,6,1,0,0,0,1000,1,1,46,900,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,1.438059,1.165360,0,1.593537,-0.393549,0
46,920000,1,1,47,21.511030,1001.262661,100.281592,1,1,47,0.132088,0.139950,9.916647,0.008839,0.015327,0.002159,1,1,47,0.174482,0.169597,9.972482,1,1,47,0.999993,0.001266,0.001979,0.002939,1,1,47,0,1,1,1,47,0,0,0,9,0.002756,0.002756,6,1,0,0,0,1000,1,1,47,920,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,1.469927,1.157479,0,1.593248,-0.394508,0
47,940000,1,1,48,21.511269,1001.261977,100.287349,1,1,48,0.134538,0.139089,9.916609,0.008984,0.015212,0.002203,1,1,48,0.177505,0.168302,9.972996,1,1,48,0.999993,0.001293,0.002021,0.002937,1,1,48,0,1,1,1,48,0,0,0,9,0.002816,0.002816,6,1,0,0,0,1000,1,1,48,940,0,0,0,0,1,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,1.501789,1.149580,0,1.592952,-0.395466,0
48,960000,1,1,49,21.511509,1001.261295,100.293082,1,1,49,0.136962,0.138211,9.916444,0.009125,0.015096,0.002248,1,1,49,0.180481,0.166983,9.973345,1,1,49,0.999993,0.001319,0.002064,0.002934,1,1,49,0,1,1,1,49,0,0,0,9,0.002876,0.002876,6,1,0,0,0,1000,1,1,49,960,0,0,0,0,1,0,0,0,0,0,20,0,0,4294967295,4294967295,0,0,NaN,NaN,NaN,NaN,3048,NaN,NaN,0,1.533645,1.141661,0,1.592650,-0.396424,0
