t_us,bmp_T,bmp_P,bmp_alt,ax,ay,az,gx,gy,gz,lis_ax,lis_ay,lis_az,q0,q1,q2,q3,a_vertical,est_h,est_v,est_a,P00,P01,P10,P11,arm_state,policy_runtime_enabled,software_arm_token,phase,actuator_us,phase_diag_valid,phase_diag_updated,phase_diag_seq,phase_diag_t_ms,phase_diag_age_ms,phase_launch_latched,phase_burnout_latched,phase_descent_latched,phase_launch_candidate,phase_burnout_candidate,phase_descent_candidate,phase_boost_dwell_met,phase_coast_dwell_met,phase_brake_active,phase_launch_confirm_ms,phase_burnout_confirm_ms,phase_descent_confirm_ms,phase_since_launch_ms,phase_since_burnout_ms,policy_valid,policy_cmd,apogee_no_brake,apogee_full_brake,target_apogee,apogee_error,warn_mask,gps_x,gps_y,gps_z,gps_vx,gps_vy,gps_vz
280000,23.500672,994.652054,156.150609,0.141177,-0.029596,9.905682,0.006873,0.011214,0.002513,0.175673,-0.000492,9.978638,0.997320,0.002814,0.009414,0.072499,0.091646,0.063532,0.067360,0.091646,0.427978,0.006877,0.006877,0.122783,1,0,0,0,1000.000000,1,1,15,280,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0.000000,0.063763,0.063763,299.345800,-299.282037,0,0.825876,0.585503,0.162072,2.245841,0.947393,0.140757
300000,23.500720,994.652054,156.154132,0.121583,-0.044422,9.885356,0.007323,0.011099,0.002692,0.157232,-0.016842,9.960755,0.997303,0.003041,0.009638,0.072694,0.097635,0.067469,0.068744,0.097635,0.428370,0.006880,0.006880,0.122789,1,0,0,0,1000.000000,1,1,16,300,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0.000000,0.067710,0.067710,299.345500,-299.277790,0,0.883878,0.601083,0.173375,2.249037,0.947011,0.147038
320000,23.500768,994.652054,156.156734,0.098884,-0.058498,9.865830,0.007763,0.010977,0.002870,0.135556,-0.032522,9.943166,0.997286,0.003267,0.009861,0.072889,0.103513,0.071288,0.070114,0.103513,0.428763,0.006884,0.006884,0.122795,1,0,0,0,1000.000000,1,1,17,320,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0.000000,0.071539,0.071539,299.345200,-299.273661,0,0.941661,0.616501,0.184623,2.252216,0.946603,0.153235
340000,23.500816,994.652054,156.158509,0.073659,-0.071587,9.848321,0.008195,0.010847,0.003048,0.111223,-0.047290,9.927074,0.997269,0.003492,0.010083,0.073084,0.109270,0.074985,0.071471,0.109270,0.429156,0.006887,0.006887,0.122800,1,0,0,0,1000.000000,1,1,18,340,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0.000000,0.075245,0.075245,299.344900,-299.269655,0,0.999209,0.631759,0.195810,2.255379,0.946169,0.159343
360000,23.500864,994.652054,156.159571,0.046551,-0.083468,9.833944,0.008618,0.010710,0.003226,0.084872,-0.060922,9.913585,0.997251,0.003716,0.010304,0.073279,0.114901,0.078554,0.072813,0.114901,0.429549,0.006890,0.006890,0.122806,1,0,0,0,1000.000000,1,1,19,360,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0.000000,0.078825,0.078825,299.344600,-299.265775,0,1.056508,0.646859,0.206935,2.258524,0.945711,0.165358
380000,23.500912,994.652054,156.160045,0.018255,-0.093940,9.823658,0.009030,0.010565,0.003403,0.057195,-0.073210,9.903651,0.997234,0.003939,0.010524,0.073474,0.120399,0.081991,0.074141,0.120399,0.429942,0.006894,0.006894,0.122812,1,0,0,0,1000.000000,1,1,20,380,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0.000000,0.082272,0.082272,299.344300,-299.262028,0,1.113543,0.661802,0.217992,2.261649,0.945227,0.171275
400000,23.500960,994.652054,156.160068,-0.010507,-0.102827,9.818216,0.009432,0.010414,0.003581,0.028911,-0.083974,9.898025,0.997216,0.004160,0.010742,0.073669,0.125759,0.085292,0.075455,0.125759,0.430336,0.006897,0.006897,0.122817,1,0,0,0,1000.000000,1,1,21,400,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0.000000,0.085582,0.085582,299.344000,-299.258418,0,1.170300,0.676589,0.228978,2.264755,0.944719,0.177091
420000,23.501008,994.652054,156.159785,-0.039002,-0.109978,9.818134,0.009823,0.010255,0.003758,0.000753,-0.093057,9.897221,0.997199,0.004381,0.010959,0.073863,0.130972,0.088453,0.076754,0.130972,0.430730,0.006900,0.006900,0.122823,1,0,0,0,1000.000000,1,1,22,420,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0.000000,0.088753,0.088753,299.343700,-299.254947,0,1.226765,0.691221,0.239891,2.267839,0.944187,0.182800
440000,23.501056,994.652054,156.159346,-0.066499,-0.115274,9.823661,0.010203,0.010090,0.003934,-0.026551,-0.100333,9.901495,0.997181,0.004600,0.011175,0.074057,0.136035,0.091470,0.078038,0.136035,0.431124,0.006904,0.006904,0.122828,1,0,0,0,1000.000000,1,1,23,440,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0.000000,0.091781,0.091781,299.343400,-299.251619,0,1.282924,0.705701,0.250725,2.270901,0.943630,0.188399
460000,23.501104,994.652054,156.158903,-0.092298,-0.118624,9.834767,0.010570,0.009918,0.004110,-0.052300,-0.105708,9.910826,0.997163,0.004817,0.011390,0.074252,0.140940,0.094342,0.079306,0.140940,0.431518,0.006907,0.006907,0.122833,1,0,0,0,1000.000000,1,1,24,460,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0.000000,0.094663,0.094663,299.343100,-299.248437,0,1.338764,0.720030,0.261478,2.273941,0.943049,0.193883
480000,23.501152,994.652054,156.158606,-0.115740,-0.119972,9.851150,0.010926,0.009739,0.004286,-0.075836,-0.109118,9.924921,0.997145,0.005034,0.011603,0.074446,0.145682,0.097066,0.080559,0.145682,0.431912,0.006910,0.006910,0.122839,1,0,0,0,1000.000000,1,1,25,480,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0.000000,0.097397,0.097397,299.342800,-299.245403,0,1.394272,0.734209,0.272147,2.276956,0.942445,0.199249
500000,23.501200,994.652054,156.158601,-0.136224,-0.119296,9.872241,0.011269,0.009553,0.004462,-0.096558,-0.110535,9.943230,0.997127,0.005248,0.011815,0.074640,0.150256,0.099640,0.081797,0.150256,0.432306,0.006913,0.006913,0.122844,2,1,1,0,1000.000000,1,1,26,500,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0.000000,0.099981,0.099981,299.342500,-299.242519,0,1.449436,0.748240,0.282728,2.279947,0.941817,0.204492
520000,23.501248,994.652054,156.159026,-0.153229,-0.116606,9.897240,0.011599,0.009361,0.004637,-0.113943,-0.109965,9.964970,0.997109,0.005462,0.012025,0.074834,0.154656,0.102063,0.083018,0.154656,0.432701,0.006917,0.006917,0.122849,2,1,1,0,1000.000000,1,1,27,520,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0.000000,0.102415,0.102415,299.342200,-299.239785,0,1.504244,0.762126,0.293216,2.282913,0.941166,0.209608
540000,23.501296,994.652054,156.160006,-0.166320,-0.111948,9.925149,0.011916,0.009163,0.004812,-0.127555,-0.107446,9.989163,0.997090,0.005673,0.012234,0.075028,0.158878,0.104335,0.084223,0.158878,0.433096,0.006920,0.006920,0.122854,2,1,1,0,1000.000000,1,1,28,540,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0.000000,0.104697,0.104697,299.341900,-299.237203,0,1.558684,0.775868,0.303610,2.285851,0.940491,0.214594
560000,23.501344,994.652054,156.161655,-0.175161,-0.105401,9.954821,0.012219,0.008958,0.004987,-0.137058,-0.103051,10.014690,0.997072,0.005883,0.012442,0.075222,0.162915,0.106455,0.085411,0.162915,0.433491,0.006923,0.006923,0.122859,2,1,1,0,1000.000000,1,1,29,560,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0.000000,0.106827,0.106827,299.341600,-299.234773,0,1.612746,0.789469,0.313906,2.288763,0.939795,0.219447
580000,23.501281,994.650032,156.181160,-0.206386,-0.055054,95.437897,-0.024901,-0.021430,0.005161,-0.169082,-0.054862,95.493218,0.997053,0.006092,0.012648,0.075416,85.619647,0.125515,1.795640,85.619647,0.433886,0.007129,0.007129,0.130158,2,1,1,0,1000.000000,1,1,30,580,0,0,0,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0.000000,0.289890,0.289833,299.341300,-299.051410,0,1.666418,0.802929,0.341190,2.291646,0.939075,1.933220
600000,23.500992,994.643907,156.236184,-0.577232,-0.278817,97.940114,-0.023442,-0.025708,0.005335,-0.540860,-0.280784,97.990517,0.997035,0.006298,0.012852,0.075610,88.096079,0.179100,3.555308,88.096079,0.434281,0.007341,0.007341,0.137887,2,1,1,0,1000.000000,1,1,31,600,0,0,0,0,1,0,0,0,0,0,0,0,0,4294967295,4294967295,0,0.000000,0.823261,0.822391,299.341000,-298.517739,0,1.719692,0.816252,0.403045,2.294500,0.938334,3.696307
620000,23.500477,994.633655,156.326991,-0.724509,-0.410948,96.518440,-0.000024,-0.012083,0.005508,-0.689201,-0.415069,96.563585,0.997016,0.006503,0.013055,0.075803,86.650422,0.267417,5.285977,86.650422,0.434676,0.007550,0.007550,0.145707,2,1,1,0,1000.000000,1,1,32,620,0,0,0,0,1,0,0,0,0,0,20,0,0,4294967295,4294967295,0,0.000000,1.690519,1.686286,299.340700,-297.650181,0,1.772557,0.829440,0.499672,2.297324,0.937572,5.430268
640000,23.499741,994.619380,156.452733,-0.564649,-0.384119,93.575564,0.031303,0.012203,0.005681,-0.530531,-0.390381,93.615147,0.996997,0.006706,0.013256,0.075997,83.686521,0.389584,6.957284,83.686521,0.435072,0.007752,0.007752,0.153463,2,1,1,0,1000.000000,1,1,33,640,0,0,0,0,1,0,0,0,0,0,40,0,0,4294967295,4294967295,0,0.000000,2.852935,2.840294,299.340400,-296.487465,0,1.825004,0.842494,0.630185,2.300118,0.936787,7.104739
660000,23.498787,994.601134,156.612986,-0.180768,-0.205184,94.359766,0.051686,0.034327,0.005853,-0.147964,-0.213570,94.393521,0.996979,0.006906,0.013456,0.076190,84.453669,0.545163,8.643856,84.453669,0.435468,0.007956,0.007956,0.161494,2,1,1,1,1000.000000,1,1,34,660,0,1,0,0,1,0,0,0,0,0,60,0,0,0,4294967295,0,0.000000,4.343789,4.313862,299.340100,-294.996311,0,1.877026,0.855418,0.794140,2.302880,0.935982,8.794341
680000,23.497610,994.578836,156.808443,0.222946,0.047946,97.125583,0.048899,0.042596,0.006025,0.254319,0.037461,97.153285,0.996960,0.007105,0.013654,0.076384,87.207228,0.734860,10.385425,87.207228,0.435864,0.008166,0.008166,0.170002,2,1,1,1,1000.000000,1,1,35,680,0,1,0,0,1,0,0,0,0,0,80,0,0,20,4294967295,0,0.000000,6.211482,6.149612,299.339800,-293.128318,0,1.928613,0.868213,0.992237,2.305611,0.935156,10.538804
700000,23.496207,994.552437,157.039479,0.433427,0.262842,96.404032,0.024762,0.032559,0.006196,0.463255,0.250290,96.425493,0.996941,0.007302,0.013851,0.076577,86.478801,0.959083,12.112354,86.478801,0.436260,0.008375,0.008375,0.178653,2,1,1,1,1000.000000,1,1,36,700,0,1,0,0,1,0,0,0,0,0,100,0,0,40,4294967295,0,0.000000,8.397513,8.284096,299.339500,-290.941987,0,1.979758,0.880883,1.224876,2.308308,0.934310,12.268490
720000,23.494585,994.522029,157.305265,0.345750,0.345323,93.252686,-0.005965,0.009338,0.006367,0.373927,0.330739,93.267763,0.996922,0.007497,0.014045,0.076771,83.326297,1.217057,13.776166,83.326297,0.436657,0.008577,0.008577,0.187192,2,1,1,1,1000.000000,1,1,37,720,0,1,0,0,1,0,0,0,0,0,120,0,0,60,4294967295,0,0.000000,10.823735,10.635864,299.339200,-288.515465,0,2.030455,0.893428,1.491277,2.310972,0.933444,13.934918
740000,23.492746,994.487687,157.605100,0.020601,0.263630,93.272733,-0.024532,-0.015049,0.006538,0.047025,0.247057,93.281324,0.996903,0.007690,0.014239,0.076964,83.350958,1.508162,15.440409,83.350958,0.437053,0.008779,0.008779,0.195932,2,1,1,1,1000.000000,1,1,38,740,0,1,0,0,1,0,0,0,0,0,140,0,0,80,4294967295,0,0.000000,13.554011,13.260896,299.338900,-285.784889,0,2.080698,0.905853,1.790810,2.313602,0.932558,15.601635
760000,23.490687,994.449343,157.939466,-0.349443,0.063252,96.109893,-0.019578,-0.027980,0.006707,-0.324868,0.044738,96.111940,0.996883,0.007880,0.014430,0.077157,86.198281,1.832974,17.161540,86.198281,0.437450,0.008988,0.008988,0.205181,2,1,1,1,1000.000000,1,1,39,760,0,1,0,0,1,0,0,0,0,0,160,0,0,100,4294967295,0,0.000000,16.682618,16.241062,299.338600,-282.655982,0,2.130479,0.918160,2.124047,2.316196,0.931653,17.325094
780000,23.488405,994.406930,158.308827,-0.546240,-0.154597,96.118889,0.005983,-0.022825,0.006877,-0.523602,-0.174998,96.114378,0.996864,0.008068,0.014619,0.077350,86.222500,2.192073,18.883102,86.222500,0.437847,0.009197,0.009197,0.214646,2,1,1,1,1000.000000,1,1,40,780,0,1,0,0,1,0,0,0,0,0,180,0,0,120,4294967295,0,0.000000,20.128691,19.490596,299.338300,-279.209609,0,2.179795,0.930351,2.491558,2.318755,0.930730,19.048837
800000,23.485903,994.360522,158.712431,-0.446504,-0.280690,92.945952,0.036725,-0.002419,0.007045,-0.425884,-0.302918,92.934915,0.996845,0.008254,0.014807,0.077543,83.069112,2.584839,20.541545,83.069112,0.438244,0.009399,0.009399,0.223965,2,1,1,1,1000.000000,1,1,41,800,0,1,0,0,1,0,0,0,0,0,200,0,0,140,4294967295,0,0.000000,23.758723,22.878270,299.338000,-275.579277,0,2.228641,0.942430,2.892713,2.321279,0.929788,20.709313
820000,23.483187,994.310212,159.149364,-0.090035,-0.249277,92.193269,0.054071,0.022426,0.007214,-0.071508,-0.273267,92.175779,0.996826,0.008438,0.014993,0.077736,82.339361,3.010498,22.185349,82.339361,0.438641,0.009599,0.009599,0.233397,2,1,1,1,1000.000000,1,1,42,820,0,1,0,0,1,0,0,0,0,0,220,0,0,160,4294967295,0,0.000000,27.644410,26.465087,299.337700,-271.693290,0,2.277013,0.954398,3.326733,2.323765,0.928827,22.354997
840000,23.480253,994.255953,159.619883,0.341798,-0.069115,94.919853,0.047558,0.038572,0.007381,0.358167,-0.094798,94.896028,0.996806,0.008619,0.015177,0.077929,85.091156,3.469463,23.884147,85.091156,0.439039,0.009806,0.009806,0.243350,2,1,1,1,1000.000000,1,1,43,840,0,1,0,0,1,0,0,0,0,0,240,0,0,180,4294967295,0,0.000000,31.937863,30.380720,299.337400,-267.399537,0,2.324906,0.966259,3.794018,2.326214,0.927850,24.055523
860000,23.477098,994.197661,160.124537,0.625492,0.180548,95.658528,0.021186,0.037431,0.007548,0.639643,0.153247,95.628527,0.996787,0.008798,0.015359,0.078122,85.856104,3.962442,25.598208,85.856104,0.439436,0.010015,0.010015,0.253602,2,1,1,1,1000.000000,1,1,44,860,0,1,0,0,1,0,0,0,0,0,260,0,0,200,4294967295,0,0.000000,36.561642,34.544461,299.337100,-262.775458,0,2.372319,0.978016,4.295269,2.328625,0.926855,25.771158
880000,23.473724,994.135390,160.662729,0.618049,0.387151,92.665922,-0.009009,0.019454,0.007715,0.629931,0.358312,92.629947,0.996767,0.008974,0.015540,0.078315,82.889567,4.489002,27.252905,82.889567,0.439834,0.010217,0.010217,0.263700,2,1,1,1,1000.000000,1,1,45,880,0,1,0,0,1,0,0,0,0,0,280,0,0,220,4294967295,0,0.000000,41.320792,38.777159,299.336800,-258.016008,0,2.419249,0.989672,4.830042,2.330998,0.925844,27.427274
900000,23.470136,994.069244,161.233418,0.335333,0.457680,91.192588,-0.024684,-0.006104,0.007880,0.344903,0.427387,91.150882,0.996748,0.009148,0.015718,0.078508,81.440843,5.048266,28.878600,81.440843,0.440232,0.010416,0.010416,0.273813,2,1,1,1,1000.000000,1,1,46,900,0,1,0,0,1,0,0,0,0,0,300,0,0,240,4294967295,0,0.000000,46.268103,43.121910,299.336500,-253.068397,0,2.465695,1.001229,5.397451,2.333332,0.924816,29.054230
920000,23.466335,993.999201,161.836656,-0.056955,0.362342,93.643563,-0.016311,-0.026024,0.008045,-0.049731,0.330683,93.596405,0.996728,0.009319,0.015895,0.078701,83.913780,5.640448,30.553731,83.913780,0.440630,0.010621,0.010621,0.284433,2,1,1,1,1000.000000,1,1,47,920,0,1,0,0,1,0,0,1,0,0,320,0,0,260,4294967295,0,0.000000,51.614937,47.752977,299.336200,-247.721263,0,2.511654,1.012691,5.997699,2.335627,0.923772,30.730464
940000,23.462314,993.925167,162.473078,-0.334731,0.148520,95.072484,0.011036,-0.030036,0.008210,-0.329879,0.115588,95.020192,0.996708,0.009488,0.016069,0.078893,85.360958,6.266337,32.257786,85.360958,0.441029,0.010829,0.010829,0.295443,2,1,1,1,1000.000000,1,1,48,940,0,1,0,0,1,0,0,1,0,0,340,0,0,280,4294967295,0,0.000000,57.315040,52.619823,299.335900,-242.020860,0,2.557128,1.024060,6.631566,2.337882,0.922713,32.435464
960000,23.458074,993.847171,163.142317,-0.339054,-0.081555,92.455080,0.040768,-0.016195,0.008374,-0.336592,-0.115664,92.398005,0.996689,0.009654,0.016242,0.079086,82.757226,6.925712,33.909752,82.757226,0.441427,0.011032,0.011032,0.306316,2,1,1,1,1000.000000,1,1,49,960,0,1,0,0,1,0,0,1,0,0,360,0,0,300,4294967295,0,0.000000,63.116794,57.506906,299.335600,-236.218806,0,2.602116,1.035341,7.298820,2.340097,0.921639,34.088214
980000,23.453623,993.765325,163.843309,-0.063751,-0.218911,90.359530,0.054834,0.008105,0.008537,-0.063688,-0.254098,90.298054,0.996669,0.009817,0.016412,0.079279,80.670102,7.617642,35.519965,80.670102,0.441826,0.011229,0.011229,0.317104,2,1,1,1,1000.000000,1,1,50,980,0,1,0,0,1,0,0,1,0,0,380,0,0,320,4294967295,0,0.000000,69.027539,62.419981,299.335300,-230.307761,0,2.646619,1.046536,7.998519,2.342271,0.920551,35.699052
1000000,23.448960,993.679631,164.575931,0.341087,-0.199102,92.384984,0.044679,0.029999,0.008699,0.338752,-0.235265,92.319522,0.996649,0.009977,0.016581,0.079471,82.698333,8.342123,37.170738,82.698333,0.442225,0.011432,0.011432,0.328357,2,1,1,1,1000.000000,1,1,51,1000,0,1,0,0,1,0,0,1,0,0,400,0,0,340,4294967295,0,0.000000,75.308495,67.564954,299.335000,-224.026505,0,2.690638,1.057648,8.730650,2.344405,0.919449,37.350287
1020000,23.444080,993.589993,165.340904,0.651671,-0.032513,94.415994,0.016428,0.037879,0.008861,0.646946,-0.069546,94.346985,0.996630,0.010135,0.016747,0.079664,84.726334,9.099976,38.862069,84.726334,0.442624,0.011640,0.011640,0.340090,2,1,1,1,1000.000000,1,1,52,1020,0,1,0,0,1,0,0,1,0,0,420,0,0,360,4294967295,0,0.000000,81.970126,72.939672,299.334700,-217.364574,0,2.734174,1.068680,9.496021,2.346497,0.918333,39.041919
1040000,23.438983,993.496414,166.138142,0.693695,0.200539,92.336831,-0.012827,0.027465,0.009022,0.686596,0.162745,92.264739,0.996610,0.010290,0.016911,0.079857,82.638523,9.891198,40.511647,82.638523,0.443023,0.011842,0.011842,0.351732,2,1,1,1,1000.000000,1,1,53,1040,0,1,0,0,1,0,0,1,0,0,440,0,0,380,4294967295,0,0.000000,88.719153,78.310046,299.334400,-210.615247,0,2.777232,1.079637,10.294620,2.348548,0.917204,40.691637
1060000,23.433674,993.399006,166.966655,0.438347,0.387619,89.745824,-0.025396,0.004045,0.009182,0.428900,0.349172,89.671134,0.996590,0.010442,0.017074,0.080049,80.033646,10.714858,42.109136,80.033646,0.443423,0.012039,0.012039,0.363193,2,1,1,1,1000.000000,1,1,54,1060,0,1,0,0,1,0,0,1,0,0,460,0,0,400,4294967295,0,0.000000,95.495107,83.631791,299.334100,-203.838993,0,2.819813,1.090521,11.125505,2.350557,0.916062,42.289103
